day eternity:200 replacement_initial_a:0.2 replacement_final_a:0 number_of_contact_events_per_day_a:40 pre_active_state_duration_1:4 pre_active_state_duration_2:2 active_state_duration_1:2 active_state_duration_2:0 transmission_probability_1_a:0.125 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0;;;;;;;;;;
day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
126;0.146326;0.269132;0.0863665;0.146326;0;0;0;0.187329;0.187329;0
127;0.145946;0.269359;0.0861269;0.145946;0;0;0;0.187329;0.187329;0
128;0.145804;0.269683;0.0859753;0.145804;0;0;0;0.187329;0.187329;0
129;0.146046;0.269701;0.0860862;0.146046;0;0;0;0.187329;0.187329;0
130;0.146338;0.269422;0.086297;0.146338;0;0;0;0.187329;0.187329;0
131;0.146319;0.269219;0.0863406;0.146319;0;0;0;0.187329;0.187329;0
132;0.146046;0.269329;0.0861822;0.146046;0;0;0;0.187329;0.187329;0
133;0.145878;0.269585;0.086036;0.145878;0;0;0;0.187329;0.187329;0
134;0.146007;0.269661;0.086078;0.146007;0;0;0;0.187329;0.187329;0
135;0.146245;0.269483;0.0862372;0.146245;0;0;0;0.187329;0.187329;0
136;0.146291;0.269295;0.0863075;0.146291;0;0;0;0.187329;0.187329;0
137;0.14611;0.269326;0.0862131;0.14611;0;0;0;0.187329;0.187329;0
138;0.145946;0.269515;0.0860864;0.145946;0;0;0;0.187329;0.187329;0
139;0.145997;0.269615;0.0860847;0.145997;0;0;0;0.187329;0.187329;0
140;0.146177;0.269515;0.0861966;0.146177;0;0;0;0.187329;0.187329;0
141;0.146255;0.269357;0.0862741;0.146255;0;0;0;0.187329;0.187329;0
142;0.146146;0.26934;0.0862266;0.146146;0;0;0;0.187329;0.187329;0
143;0.146003;0.269469;0.0861254;0.146003;0;0;0;0.187329;0.187329;0
144;0.146003;0.269572;0.0860991;0.146003;0;0;0;0.187329;0.187329;0
145;0.146131;0.269526;0.0861716;0.146131;0;0;0;0.187329;0.187329;0
146;0.146217;0.269404;0.0862442;0.146217;0;0;0;0.187329;0.187329;0
147;0.146162;0.269361;0.0862288;0.146162;0;0;0;0.187329;0.187329;0
148;0.146047;0.269442;0.0861535;0.146047;0;0;0;0.187329;0.187329;0
149;0.146019;0.269534;0.0861162;0.146019;0;0;0;0.187329;0.187329;0
150;0.146102;0.269525;0.0861581;0.146102;0;0;0;0.187329;0.187329;0
151;0.146184;0.269437;0.0862199;0.146184;0;0;0;0.187329;0.187329;0
152;0.146165;0.269384;0.0862243;0.146165;0;0;0;0.187329;0.187329;0
153;0.146079;0.269428;0.0861722;0.146079;0;0;0;0.187329;0.187329;0
154;0.146038;0.269505;0.0861329;0.146038;0;0;0;0.187329;0.187329;0
155;0.146087;0.269517;0.0861528;0.146087;0;0;0;0.187329;0.187329;0
156;0.146156;0.269458;0.0862013;0.146156;0;0;0;0.187329;0.187329;0
157;0.14616;0.269406;0.0862164;0.14616;0;0;0;0.187329;0.187329;0
158;0.146101;0.269424;0.0861834;0.146101;0;0;0;0.187329;0.187329;0
159;0.146057;0.269483;0.0861475;0.146057;0;0;0;0.187329;0.187329;0
160;0.14608;0.269506;0.0861527;0.14608;0;0;0;0.187329;0.187329;0
161;0.146135;0.26947;0.0861882;0.146135;0;0;0;0.187329;0.187329;0
162;0.146151;0.269424;0.0862077;0.146151;0;0;0;0.187329;0.187329;0
163;0.146114;0.269426;0.0861892;0.146114;0;0;0;0.187329;0.187329;0
164;0.146073;0.269467;0.0861593;0.146073;0;0;0;0.187329;0.187329;0
165;0.14608;0.269494;0.0861555;0.14608;0;0;0;0.187329;0.187329;0
166;0.14612;0.269475;0.0861796;0.14612;0;0;0;0.187329;0.187329;0
167;0.146142;0.269438;0.0861994;0.146142;0;0;0;0.187329;0.187329;0
168;0.14612;0.26943;0.0861912;0.14612;0;0;0;0.187329;0.187329;0
169;0.146087;0.269458;0.0861681;0.146087;0;0;0;0.187329;0.187329;0
170;0.146083;0.269484;0.0861596;0.146083;0;0;0;0.187329;0.187329;0
171;0.14611;0.269477;0.0861746;0.14611;0;0;0;0.187329;0.187329;0
172;0.146132;0.269449;0.0861922;0.146132;0;0;0;0.187329;0.187329;0
173;0.146123;0.269436;0.0861909;0.146123;0;0;0;0.187329;0.187329;0
174;0.146097;0.269453;0.0861742;0.146097;0;0;0;0.187329;0.187329;0
175;0.146087;0.269475;0.0861641;0.146087;0;0;0;0.187329;0.187329;0
176;0.146105;0.269475;0.0861721;0.146105;0;0;0;0.187329;0.187329;0
177;0.146124;0.269456;0.0861866;0.146124;0;0;0;0.187329;0.187329;0
178;0.146122;0.269442;0.0861892;0.146122;0;0;0;0.187329;0.187329;0
179;0.146103;0.26945;0.0861781;0.146103;0;0;0;0.187329;0.187329;0
180;0.146092;0.269468;0.0861682;0.146092;0;0;0;0.187329;0.187329;0
181;0.146102;0.269473;0.0861714;0.146102;0;0;0;0.187329;0.187329;0
182;0.146118;0.26946;0.0861825;0.146118;0;0;0;0.187329;0.187329;0
183;0.146121;0.269447;0.086187;0.146121;0;0;0;0.187329;0.187329;0
184;0.146108;0.26945;0.0861803;0.146108;0;0;0;0.187329;0.187329;0
185;0.146097;0.269463;0.0861717;0.146097;0;0;0;0.187329;0.187329;0
186;0.146101;0.26947;0.0861718;0.146101;0;0;0;0.187329;0.187329;0
187;0.146113;0.269462;0.0861796;0.146113;0;0;0;0.187329;0.187329;0
188;0.146118;0.269452;0.0861848;0.146118;0;0;0;0.187329;0.187329;0
189;0.146111;0.269451;0.0861813;0.146111;0;0;0;0.187329;0.187329;0
190;0.146101;0.26946;0.0861744;0.146101;0;0;0;0.187329;0.187329;0
191;0.146101;0.269467;0.0861727;0.146101;0;0;0;0.187329;0.187329;0
192;0.14611;0.269463;0.0861778;0.14611;0;0;0;0.187329;0.187329;0
193;0.146116;0.269455;0.0861828;0.146116;0;0;0;0.187329;0.187329;0
194;0.146112;0.269452;0.0861815;0.146112;0;0;0;0.187329;0.187329;0
195;0.146104;0.269458;0.0861763;0.146104;0;0;0;0.187329;0.187329;0
196;0.146102;0.269464;0.0861739;0.146102;0;0;0;0.187329;0.187329;0
197;0.146108;0.269463;0.0861769;0.146108;0;0;0;0.187329;0.187329;0
198;0.146113;0.269457;0.0861811;0.146113;0;0;0;0.187329;0.187329;0
199;0.146112;0.269454;0.0861813;0.146112;0;0;0;0.187329;0.187329;0
200;0.146106;0.269457;0.0861776;0.146106;0;0;0;0.187329;0.187329;0
