day eternity:600 replacement_initial_a:0.015 replacement_final_a:0.01 number_of_contact_events_per_day_a:20 pre_active_state_duration_1:3 pre_active_state_duration_2:0 active_state_duration_1:4 active_state_duration_2:0 transmission_probability_1_a:0.03 transmission_probability_2_a:0 days before configuration switch: 0 number_of_contact_events_per_day_b:0 replacement_initial_b:0 replacement_final_b:0 transmission_probability_1_b:0 transmission_probability_2_b:0;;;;;;;;;;
day ; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2
92;0.0019734;0.565997;0.00580038;0.0019734;0;0;0;0.0019734;0.0019734;0
93;0.00203308;0.564814;0.00598796;0.00203308;0;0;0;0.00203308;0.00203308;0
94;0.00209371;0.5636;0.00617943;0.00209371;0;0;0;0.00209371;0.00209371;0
95;0.00215524;0.562355;0.00637472;0.00215524;0;0;0;0.00215524;0.00215524;0
96;0.00221761;0.561078;0.00657372;0.00221761;0;0;0;0.00221761;0.00221761;0
97;0.00228078;0.55977;0.00677633;0.00228078;0;0;0;0.00228078;0.00228078;0
98;0.00234468;0.558432;0.00698243;0.00234468;0;0;0;0.00234468;0.00234468;0
99;0.00240925;0.557061;0.00719188;0.00240925;0;0;0;0.00240925;0.00240925;0
100;0.00247441;0.555661;0.00740453;0.00247441;0;0;0;0.00247441;0.00247441;0
101;0.0025401;0.554229;0.00762021;0.0025401;0;0;0;0.0025401;0.0025401;0
102;0.00260623;0.552767;0.00783873;0.00260623;0;0;0;0.00260623;0.00260623;0
103;0.00267271;0.551275;0.00805989;0.00267271;0;0;0;0.00267271;0.00267271;0
104;0.00273946;0.549754;0.00828347;0.00273946;0;0;0;0.00273946;0.00273946;0
105;0.00280639;0.548204;0.00850924;0.00280639;0;0;0;0.00280639;0.00280639;0
106;0.0028734;0.546625;0.00873693;0.0028734;0;0;0;0.0028734;0.0028734;0
107;0.00294038;0.545019;0.00896629;0.00294038;0;0;0;0.00294038;0.00294038;0
108;0.00300723;0.543386;0.00919702;0.00300723;0;0;0;0.00300723;0.00300723;0
109;0.00307384;0.541728;0.00942883;0.00307384;0;0;0;0.00307384;0.00307384;0
110;0.00314009;0.540045;0.00966138;0.00314009;0;0;0;0.00314009;0.00314009;0
111;0.00320588;0.538338;0.00989436;0.00320588;0;0;0;0.00320588;0.00320588;0
112;0.00327109;0.536608;0.0101274;0.00327109;0;0;0;0.00327109;0.00327109;0
113;0.0033356;0.534857;0.0103602;0.0033356;0;0;0;0.0033356;0.0033356;0
114;0.00339928;0.533086;0.0105923;0.00339928;0;0;0;0.00339928;0.00339928;0
115;0.00346203;0.531297;0.0108233;0.00346203;0;0;0;0.00346203;0.00346203;0
116;0.00352371;0.529491;0.0110529;0.00352371;0;0;0;0.00352371;0.00352371;0
117;0.0035842;0.52767;0.0112807;0.0035842;0;0;0;0.0035842;0.0035842;0
118;0.0036434;0.525835;0.0115062;0.0036434;0;0;0;0.0036434;0.0036434;0
119;0.00370118;0.523987;0.011729;0.00370118;0;0;0;0.00370118;0.00370118;0
120;0.00375742;0.52213;0.0119488;0.00375742;0;0;0;0.00375742;0.00375742;0
121;0.00381202;0.520265;0.0121651;0.00381202;0;0;0;0.00381202;0.00381202;0
122;0.00386487;0.518394;0.0123774;0.00386487;0;0;0;0.00386487;0.00386487;0
123;0.00391586;0.516518;0.0125854;0.00391586;0;0;0;0.00391586;0.00391586;0
124;0.00396489;0.51464;0.0127887;0.00396489;0;0;0;0.00396489;0.00396489;0
125;0.00401187;0.512762;0.0129868;0.00401187;0;0;0;0.00401187;0.00401187;0
126;0.00405671;0.510886;0.0131794;0.00405671;0;0;0;0.00405671;0.00405671;0
127;0.00409934;0.509015;0.013366;0.00409934;0;0;0;0.00409934;0.00409934;0
128;0.00413967;0.50715;0.0135464;0.00413967;0;0;0;0.00413967;0.00413967;0
129;0.00417764;0.505294;0.0137201;0.00417764;0;0;0;0.00417764;0.00417764;0
130;0.00421319;0.503448;0.0138868;0.00421319;0;0;0;0.00421319;0.00421319;0
131;0.00424627;0.501616;0.0140463;0.00424627;0;0;0;0.00424627;0.00424627;0
132;0.00427684;0.499798;0.0141982;0.00427684;0;0;0;0.00427684;0.00427684;0
133;0.00430486;0.497998;0.0143422;0.00430486;0;0;0;0.00430486;0.00430486;0
134;0.00433031;0.496218;0.0144781;0.00433031;0;0;0;0.00433031;0.00433031;0
135;0.00435317;0.49446;0.0146057;0.00435317;0;0;0;0.00435317;0.00435317;0
136;0.00437344;0.492725;0.0147249;0.00437344;0;0;0;0.00437344;0.00437344;0
137;0.00439111;0.491015;0.0148353;0.00439111;0;0;0;0.00439111;0.00439111;0
138;0.0044062;0.489334;0.014937;0.0044062;0;0;0;0.0044062;0.0044062;0
139;0.00441873;0.487682;0.0150297;0.00441873;0;0;0;0.00441873;0.00441873;0
140;0.00442871;0.486061;0.0151135;0.00442871;0;0;0;0.00442871;0.00442871;0
141;0.00443619;0.484473;0.0151883;0.00443619;0;0;0;0.00443619;0.00443619;0
142;0.00444121;0.48292;0.0152541;0.00444121;0;0;0;0.00444121;0.00444121;0
143;0.00444382;0.481403;0.0153109;0.00444382;0;0;0;0.00444382;0.00444382;0
144;0.00444407;0.479924;0.0153587;0.00444407;0;0;0;0.00444407;0.00444407;0
145;0.00444203;0.478484;0.0153976;0.00444203;0;0;0;0.00444407;0.00444407;0
146;0.00443776;0.477084;0.0154278;0.00443776;0;0;0;0.00444407;0.00444407;0
147;0.00443134;0.475726;0.0154494;0.00443134;0;0;0;0.00444407;0.00444407;0
148;0.00442285;0.47441;0.0154625;0.00442285;0;0;0;0.00444407;0.00444407;0
149;0.00441237;0.473137;0.0154673;0.00441237;0;0;0;0.00444407;0.00444407;0
150;0.00439998;0.471909;0.0154641;0.00439998;0;0;0;0.00444407;0.00444407;0
151;0.00438578;0.470725;0.015453;0.00438578;0;0;0;0.00444407;0.00444407;0
152;0.00436985;0.469587;0.0154343;0.00436985;0;0;0;0.00444407;0.00444407;0
153;0.0043523;0.468495;0.0154082;0.0043523;0;0;0;0.00444407;0.00444407;0
154;0.00433321;0.46745;0.0153751;0.00433321;0;0;0;0.00444407;0.00444407;0
155;0.00431268;0.466451;0.0153352;0.00431268;0;0;0;0.00444407;0.00444407;0
156;0.00429082;0.465499;0.0152889;0.00429082;0;0;0;0.00444407;0.00444407;0
157;0.00426771;0.464594;0.0152364;0.00426771;0;0;0;0.00444407;0.00444407;0
158;0.00424345;0.463735;0.0151782;0.00424345;0;0;0;0.00444407;0.00444407;0
159;0.00421813;0.462924;0.0151144;0.00421813;0;0;0;0.00444407;0.00444407;0
160;0.00419186;0.462159;0.0150454;0.00419186;0;0;0;0.00444407;0.00444407;0
161;0.00416472;0.46144;0.0149716;0.00416472;0;0;0;0.00444407;0.00444407;0
162;0.00413681;0.460767;0.0148934;0.00413681;0;0;0;0.00444407;0.00444407;0
163;0.00410821;0.46014;0.014811;0.00410821;0;0;0;0.00444407;0.00444407;0
164;0.00407901;0.459557;0.0147247;0.00407901;0;0;0;0.00444407;0.00444407;0
165;0.00404928;0.459019;0.014635;0.00404928;0;0;0;0.00444407;0.00444407;0
166;0.00401912;0.458525;0.0145421;0.00401912;0;0;0;0.00444407;0.00444407;0
167;0.0039886;0.458073;0.0144463;0.0039886;0;0;0;0.00444407;0.00444407;0
168;0.0039578;0.457663;0.014348;0.0039578;0;0;0;0.00444407;0.00444407;0
169;0.00392678;0.457295;0.0142475;0.00392678;0;0;0;0.00444407;0.00444407;0
170;0.00389561;0.456967;0.014145;0.00389561;0;0;0;0.00444407;0.00444407;0
171;0.00386436;0.456678;0.0140408;0.00386436;0;0;0;0.00444407;0.00444407;0
172;0.00383308;0.456428;0.0139353;0.00383308;0;0;0;0.00444407;0.00444407;0
173;0.00380185;0.456216;0.0138286;0.00380185;0;0;0;0.00444407;0.00444407;0
174;0.0037707;0.45604;0.0137211;0.0037707;0;0;0;0.00444407;0.00444407;0
175;0.0037397;0.455899;0.013613;0.0037397;0;0;0;0.00444407;0.00444407;0
176;0.00370888;0.455793;0.0135044;0.00370888;0;0;0;0.00444407;0.00444407;0
177;0.0036783;0.45572;0.0133957;0.0036783;0;0;0;0.00444407;0.00444407;0
178;0.003648;0.455679;0.013287;0.003648;0;0;0;0.00444407;0.00444407;0
179;0.00361801;0.455669;0.0131785;0.00361801;0;0;0;0.00444407;0.00444407;0
180;0.00358837;0.455688;0.0130704;0.00358837;0;0;0;0.00444407;0.00444407;0
181;0.00355912;0.455737;0.0129629;0.00355912;0;0;0;0.00444407;0.00444407;0
182;0.00353027;0.455813;0.0128561;0.00353027;0;0;0;0.00444407;0.00444407;0
183;0.00350187;0.455916;0.0127502;0.00350187;0;0;0;0.00444407;0.00444407;0
184;0.00347393;0.456044;0.0126454;0.00347393;0;0;0;0.00444407;0.00444407;0
185;0.00344648;0.456197;0.0125417;0.00344648;0;0;0;0.00444407;0.00444407;0
186;0.00341954;0.456372;0.0124393;0.00341954;0;0;0;0.00444407;0.00444407;0
187;0.00339313;0.45657;0.0123382;0.00339313;0;0;0;0.00444407;0.00444407;0
188;0.00336725;0.456788;0.0122387;0.00336725;0;0;0;0.00444407;0.00444407;0
189;0.00334194;0.457027;0.0121407;0.00334194;0;0;0;0.00444407;0.00444407;0
190;0.00331719;0.457284;0.0120444;0.00331719;0;0;0;0.00444407;0.00444407;0
191;0.00329302;0.457559;0.0119498;0.00329302;0;0;0;0.00444407;0.00444407;0
192;0.00326943;0.45785;0.011857;0.00326943;0;0;0;0.00444407;0.00444407;0
193;0.00324644;0.458158;0.011766;0.00324644;0;0;0;0.00444407;0.00444407;0
194;0.00322405;0.45848;0.011677;0.00322405;0;0;0;0.00444407;0.00444407;0
195;0.00320227;0.458815;0.01159;0.00320227;0;0;0;0.00444407;0.00444407;0
196;0.00318109;0.459164;0.0115049;0.00318109;0;0;0;0.00444407;0.00444407;0
197;0.00316052;0.459524;0.0114218;0.00316052;0;0;0;0.00444407;0.00444407;0
198;0.00314057;0.459896;0.0113408;0.00314057;0;0;0;0.00444407;0.00444407;0
199;0.00312122;0.460277;0.0112619;0.00312122;0;0;0;0.00444407;0.00444407;0
