day eternity:1600 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.25 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.15 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
113;0.0191388;0.578831;0.0463202;0.0191388;0;0;0;0.0405862;0.0405862;0;
114;0.0193397;0.576339;0.0469953;0.0193397;0;0;0;0.0405862;0.0405862;0;
115;0.0195208;0.573764;0.0476352;0.0195208;0;0;0;0.0405862;0.0405862;0;
116;0.0196812;0.571132;0.0482356;0.0196812;0;0;0;0.0405862;0.0405862;0;
117;0.0198201;0.568467;0.0487924;0.0198201;0;0;0;0.0405862;0.0405862;0;
118;0.0199372;0.565791;0.0493021;0.0199372;0;0;0;0.0405862;0.0405862;0;
119;0.0200322;0.563127;0.0497616;0.0200322;0;0;0;0.0405862;0.0405862;0;
120;0.0201051;0.560497;0.0501684;0.0201051;0;0;0;0.0405862;0.0405862;0;
121;0.0201563;0.557921;0.0505208;0.0201563;0;0;0;0.0405862;0.0405862;0;
122;0.0201863;0.555418;0.0508176;0.0201863;0;0;0;0.0405862;0.0405862;0;
123;0.0201959;0.553005;0.0510583;0.0201959;0;0;0;0.0405862;0.0405862;0;
124;0.020186;0.550699;0.0512429;0.020186;0;0;0;0.0405862;0.0405862;0;
125;0.0201578;0.548513;0.0513724;0.0201578;0;0;0;0.0405862;0.0405862;0;
126;0.0201125;0.54646;0.0514481;0.0201125;0;0;0;0.0405862;0.0405862;0;
127;0.0200517;0.54455;0.0514719;0.0200517;0;0;0;0.0405862;0.0405862;0;
128;0.0199768;0.542791;0.0514463;0.0199768;0;0;0;0.0405862;0.0405862;0;
129;0.0198894;0.54119;0.0513743;0.0198894;0;0;0;0.0405862;0.0405862;0;
130;0.019791;0.539752;0.0512591;0.019791;0;0;0;0.0405862;0.0405862;0;
131;0.0196834;0.538478;0.0511042;0.0196834;0;0;0;0.0405862;0.0405862;0;
132;0.0195681;0.537371;0.0509137;0.0195681;0;0;0;0.0405862;0.0405862;0;
133;0.0194467;0.536429;0.0506914;0.0194467;0;0;0;0.0405862;0.0405862;0;
134;0.0193207;0.535652;0.0504413;0.0193207;0;0;0;0.0405862;0.0405862;0;
135;0.0191915;0.535034;0.0501677;0.0191915;0;0;0;0.0405862;0.0405862;0;
136;0.0190605;0.534572;0.0498746;0.0190605;0;0;0;0.0405862;0.0405862;0;
137;0.018929;0.53426;0.049566;0.018929;0;0;0;0.0405862;0.0405862;0;
138;0.0187982;0.534092;0.0492456;0.0187982;0;0;0;0.0405862;0.0405862;0;
139;0.0186691;0.534059;0.0489173;0.0186691;0;0;0;0.0405862;0.0405862;0;
140;0.0185427;0.534154;0.0485844;0.0185427;0;0;0;0.0405862;0.0405862;0;
141;0.0184199;0.534368;0.0482502;0.0184199;0;0;0;0.0405862;0.0405862;0;
142;0.0183015;0.534692;0.0479176;0.0183015;0;0;0;0.0405862;0.0405862;0;
143;0.018188;0.535116;0.0475895;0.018188;0;0;0;0.0405862;0.0405862;0;
144;0.0180802;0.535631;0.0472682;0.0180802;0;0;0;0.0405862;0.0405862;0;
